rostime,x_acc,y_acc,z_acc
1592291184.598,1.549,-9.061,-1.187
1592291184.602,1.294,-9.542,-1.451
1592291184.606,1.167,-8.846,-1.736
1592291184.609,1.677,-9.365,-2.01
1592291184.613,2.138,-9.287,-1.912
1592291184.617,1.128,-9.228,-1.971
1592291184.621,0.382,-9.003,-1.755
1592291184.625,0.834,-9.061,-0.971
1592291184.629,1.01,-9.542,-1.049
1592291184.633,1.549,-9.787,-1.834
1592291184.637,2.177,-9.885,-2.275
1592291184.641,1.608,-9.65,-3.04
1592291184.645,0.932,-9.405,-2.942
1592291184.649,1.432,-9.307,-1.755
1592291184.653,2.275,-10.287,-1.255
1592291184.657,2.157,-9.561,-1.187
1592291184.661,2.01,-10.13,-1.736
1592291184.665,1.873,-9.287,-2.157
1592291184.668,1.912,-9.267,-2.432
1592291184.672,2.501,-9.728,-2.452
1592291184.676,2.658,-9.365,-2.197
1592291184.68,2.236,-9.964,-2.275
1592291184.684,1.814,-9.003,-2.216
1592291184.688,1.736,-9.483,-2.069
1592291184.692,1.491,-9.787,-1.893
1592291184.696,1.314,-9.179,-1.893
1592291184.7,1.628,-10.071,-1.853
1592291184.704,1.432,-9.63,-2.118
1592291184.708,0.647,-8.944,-2.216
1592291184.712,0.226,-8.865,-1.628
1592291184.716,0.382,-9.944,-1.952
1592291184.72,0.343,-8.944,-2.157
1592291184.724,0.431,-9.865,-2.138
1592291184.727,0.667,-9.307,-2.099
1592291184.731,0.588,-9.061,-2.197
1592291184.735,0.785,-9.228,-1.795
1592291184.739,1.108,-9.689,-2.03
1592291184.743,0.824,-9.561,-2.099
1592291184.747,0.0,-9.287,-1.873
1592291184.751,-0.471,-9.385,-1.549
1592291184.755,-0.343,-8.983,-1.697
1592291184.759,0.324,-9.159,-1.147
1592291184.763,0.726,-9.728,-1.206
1592291184.767,0.569,-10.13,-2.118
1592291184.771,-0.431,-8.424,-2.099
1592291184.775,-0.99,-9.179,-2.01
1592291184.779,-0.873,-9.248,-1.471
1592291184.783,-0.304,-9.905,-1.128
1592291184.786,0.402,-9.463,-1.187
1592291184.79,0.706,-9.846,-2.52
1592291184.794,0.471,-8.806,-3.177
1592291184.798,-0.049,-8.542,-3.079
1592291184.802,-0.343,-9.611,-2.491
1592291184.806,-0.471,-8.963,-1.628
1592291184.81,-0.127,-9.228,-0.873
1592291184.814,0.549,-9.709,-0.726
1592291184.818,1.147,-9.444,-1.51
1592291184.822,0.971,-9.522,-1.873
1592291184.826,0.667,-9.689,-2.579
1592291184.83,0.451,-9.061,-3.197
1592291184.834,0.108,-8.738,-2.334
1592291184.838,0.127,-9.581,-1.834
1592291184.842,0.343,-9.287,-1.755
1592291184.845,0.451,-9.189,-1.608
1592291184.849,0.667,-9.365,-2.314
1592291184.853,0.549,-9.591,-3.06
1592291184.857,0.49,-9.591,-3.295
1592291184.861,0.108,-9.248,-2.942
1592291184.865,-0.412,-9.385,-2.197
1592291184.869,-0.226,-9.287,-1.608
1592291184.873,0.147,-8.983,-0.99
1592291184.877,0.324,-9.611,-1.569
1592291184.881,0.765,-9.826,-2.432
1592291184.885,0.667,-9.042,-2.922
1592291184.889,-0.01,-9.267,-3.02
1592291184.893,-0.412,-8.767,-1.971
1592291184.897,-0.284,-9.748,-1.314
1592291184.901,0.647,-9.581,-0.971
1592291184.904,1.393,-9.944,-2.197
1592291184.908,1.393,-9.444,-3.02
1592291184.912,0.873,-9.081,-3.579
1592291184.916,0.0,-8.738,-2.922
1592291184.92,-0.245,-8.963,-1.716
1592291184.924,0.588,-10.209,-1.206
1592291184.928,1.314,-9.463,-0.804
1592291184.932,1.549,-10.63,-1.775
1592291184.936,1.549,-8.718,-2.756
1592291184.94,1.294,-9.346,-3.383
1592291184.944,1.069,-9.905,-2.893
1592291184.948,0.912,-9.983,-2.52
1592291184.952,1.089,-9.709,-1.991
1592291184.956,1.187,-9.483,-2.118
1592291184.96,0.824,-9.385,-2.677
1592291184.963,0.363,-9.748,-2.795
1592291184.967,0.451,-9.709,-2.599
1592291184.971,0.471,-10.366,-2.275
1592291184.975,0.343,-9.767,-1.716
1592291184.979,0.51,-9.159,-1.373
1592291184.983,0.853,-9.307,-1.294
1592291184.987,1.245,-9.561,-1.853
1592291184.991,2.01,-9.865,-2.373
1592291184.995,2.157,-9.287,-2.716
1592291184.999,1.393,-9.12,-2.56
1592291185.003,0.667,-8.983,-2.216
1592291185.007,0.51,-9.267,-2.256
1592291185.011,1.187,-8.924,-1.795
1592291185.015,2.216,-10.572,-2.658
1592291185.019,2.373,-9.228,-3.177
1592291185.022,1.334,-8.826,-3.217
1592291185.026,0.402,-8.963,-2.452
1592291185.03,0.186,-8.944,-1.608
1592291185.034,0.608,-10.326,-1.334
1592291185.038,1.108,-9.081,-1.412
1592291185.042,1.53,-9.63,-2.471
1592291185.046,1.451,-9.208,-3.217
1592291185.05,0.765,-9.042,-3.736
1592291185.054,0.382,-8.846,-2.942
1592291185.058,0.628,-9.581,-2.256
1592291185.062,0.667,-8.444,-1.226
1592291185.066,0.451,-9.189,-1.451
1592291185.07,0.745,-8.924,-1.697
1592291185.074,0.912,-9.022,-2.275
1592291185.077,0.853,-9.728,-2.854
1592291185.081,0.549,-8.738,-2.913
1592291185.085,0.01,-8.659,-2.177
1592291185.089,-0.186,-8.296,-1.549
1592291185.093,0.471,-9.208,-1.353
1592291185.097,1.51,-9.12,-1.108
1592291185.101,2.295,-9.905,-2.099
1592291185.105,2.01,-8.806,-2.579
1592291185.109,0.912,-9.346,-2.795
1592291185.113,0.402,-8.561,-2.393
1592291185.117,0.49,-9.463,-1.549
1592291185.121,0.853,-10.071,-0.932
1592291185.125,1.569,-9.65,-1.393
1592291185.129,1.667,-9.365,-1.873
1592291185.133,1.275,-9.12,-2.854
1592291185.136,0.971,-9.14,-3.423
1592291185.14,0.471,-8.806,-2.491
1592291185.144,0.549,-10.013,-2.099
1592291185.148,0.971,-9.042,-1.314
1592291185.152,1.314,-9.885,-1.275
1592291185.156,1.853,-9.924,-1.991
1592291185.16,1.873,-9.503,-2.716
1592291185.164,1.255,-9.591,-2.658
1592291185.168,0.824,-9.307,-2.432
1592291185.172,0.226,-8.963,-1.971
1592291185.176,-0.029,-8.424,-0.99
1592291185.18,0.667,-10.091,-1.255
1592291185.184,1.608,-9.022,-1.648
1592291185.188,1.648,-9.365,-2.52
1592291185.192,1.089,-9.189,-2.962
1592291185.195,0.343,-9.522,-3.099
1592291185.199,-0.206,-9.101,-2.01
1592291185.203,0.01,-9.709,-1.275
1592291185.207,0.647,-9.846,-1.589
1592291185.211,0.853,-8.62,-2.03
1592291185.215,0.667,-9.964,-2.922
1592291185.219,0.412,-9.522,-3.295
1592291185.223,0.029,-8.983,-2.795
1592291185.227,0.01,-9.522,-1.834
1592291185.231,0.382,-9.767,-1.893
1592291185.235,0.667,-8.924,-1.716
1592291185.239,0.647,-9.561,-1.912
1592291185.243,0.824,-9.826,-2.54
1592291185.247,0.029,-8.659,-2.756
1592291185.251,-0.971,-8.924,-2.275
1592291185.254,-1.353,-9.003,-2.01
1592291185.258,-1.128,-8.561,-1.795
1592291185.262,-0.265,-9.12,-1.147
1592291185.266,1.049,-10.709,-2.373
1592291185.27,1.873,-8.738,-3.197
1592291185.274,1.353,-9.63,-3.099
1592291185.278,0.549,-10.013,-2.922
1592291185.281,0.265,-8.963,-2.393
1592291185.285,0.186,-10.169,-0.99
1592291185.289,0.971,-10.13,-1.51
1592291185.293,2.05,-9.561,-2.52
1592291185.297,1.814,-9.463,-2.658
1592291185.301,1.167,-10.405,-3.638
1592291185.305,0.186,-9.65,-3.481
1592291185.308,-0.628,-8.581,-2.314
1592291185.312,-0.206,-9.463,-1.549
1592291185.316,0.686,-10.15,-1.697
1592291185.32,1.294,-9.003,-2.079
1592291185.324,1.569,-10.248,-2.256
1592291185.328,0.834,-9.591,-3.138
1592291185.332,-0.167,-8.444,-3.02
1592291185.336,-1.089,-9.267,-1.853
1592291185.34,-1.314,-9.14,-2.03
1592291185.344,-0.382,-8.698,-1.873
1592291185.348,0.628,-9.385,-1.51
1592291185.352,0.912,-10.228,-2.491
1592291185.356,0.569,-9.12,-2.913
1592291185.36,-0.01,-9.228,-2.373
1592291185.364,-0.324,-9.983,-2.412
1592291185.367,-0.412,-9.365,-2.197
1592291185.371,-0.01,-9.003,-1.432
1592291185.375,1.334,-10.65,-1.451
1592291185.379,1.814,-9.326,-2.157
1592291185.383,1.755,-8.924,-2.393
1592291185.387,1.677,-9.807,-2.54
1592291185.391,0.647,-9.248,-2.736
1592291185.395,0.029,-9.287,-2.197
1592291185.399,0.451,-9.159,-1.294
1592291185.403,1.187,-10.003,-1.667
1592291185.407,1.952,-9.767,-2.157
1592291185.411,1.697,-9.542,-2.893
1592291185.415,0.608,-9.522,-3.02
1592291185.419,-0.49,-8.6,-2.099
1592291185.423,-1.206,-9.159,-0.785
1592291185.426,-1.089,-9.365,-0.431
1592291185.43,-0.01,-9.611,-1.167
1592291185.434,0.785,-9.189,-1.697
1592291185.438,0.765,-10.071,-2.834
1592291185.442,0.363,-8.924,-2.942
1592291185.446,-0.049,-8.738,-2.03
1592291185.45,-0.186,-9.826,-1.589
